,activityName,exitId,avaliable
260,com.taobao.trip.wangxin.ui.CustomWxTribeChattingActivity,0,0
261,com.taobao.trip.ResultActivity,0,0
262,com.taobao.trip.rc.ResultActivity,0,0
263,com.taobao.trip.login.AccountManagerActivity,0,0
264,com.taobao.trip.login.LoginProxyActivity,0,0
265,com.taobao.trip.login.LoginActivity,0,0
266,com.taobao.trip.businesslayout.screenshot.ScreenFloatActivity,0,0
267,com.taobao.trip.common.app.TripBaseActivity,0,0
268,com.taobao.trip.common.app.TripBaseTranslucentActivity,0,0
269,com.taobao.trip.home.HomeActivity,0,0
270,com.taobao.trip.splashbiz.ImageSplashActivity,0,0
271,com.taobao.trip.splashbiz.VideoSplashActivity,0,0
272,com.taobao.trip.weex.WeexActivity,0,0
273,com.taobao.trip.weex.TransparentWeexActivity,0,0
274,com.taobao.trip.weex.WeexRouterActivity,0,0
275,com.taobao.trip.push.SysNotificationSettingAgentActivity,0,0
276,com.taobao.trip.push.third.AgooThirdPartyPushActivity,0,0
277,com.taobao.trip.photoselect.PhotoSelectActivity,0,0
278,com.taobao.trip.photoselect.ui.PhotoSelectActivity,0,0
279,com.taobao.trip.poisign.activity.PoiSigninActivity,0,0
280,com.taobao.trip.photoselect.ui.PhotoPreviewActivity,0,0
281,com.taobao.trip.picturecomment.ui.PictureReviewLayouActivity,0,0
282,com.taobao.trip.picturecomment.ui.PictureReviewUploaActivity,0,0
283,com.taobao.trip.picturecomment.ui.PictureCommentPrevieActivity,0,0
284,com.taobao.trip.picturecomment.ui.PictureCommentListActivity,0,0
285,com.taobao.trip.doraemon.DoraemonActivity,0,0
286,com.taobao.trip.doraemon.testcase.biz.discovery.detailanimation.DragDetailActivity,0,0
287,com.taobao.trip.doraemon.app.enchange.AppEnvironmentChangeActivity,0,0
288,com.taobao.trip.doraemon.app.usability.FpsMonitorHomeActivity,0,0
289,com.taobao.trip.doraemon.app.usability.PageConsumeMonitorActivity,0,0
290,com.taobao.trip.doraemon.app.usability.TianGouMonitorActivity,0,0
291,com.taobao.trip.doraemon.app.usability.BackgroundCpuMonitorHomeActivity,0,0
292,com.taobao.trip.doraemon.app.usability.WeexLoadTimeHomeActivity,0,0
293,com.taobao.trip.doraemon.app.usability.BootTimeMonitorActivity,0,0
294,com.taobao.trip.doraemon.app.footstep.FootStepCounterActivity,0,0
295,com.taobao.trip.doraemon.app.layout3d.Layout3DHomeActivity,0,0
296,com.taobao.trip.doraemon.app.screenshot.ScreenShotHomeActivity,0,0
297,com.taobao.trip.doraemon.app.leak.LeakHomeActivity,0,0
